owner	returnNo	orderNo	paymentCode	returnType	shippingAgent	customerNo	bill_customerNo	shipmentDate	postingDate
IW	Ret097488	ORD151313	BILL	CUSTOMER_RA	DHL	KNR374521	KNR374521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097489	ORD152978	BILL	CUSTOMER_RA	DHL	KNR566621	KNR566621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097493	ORD148064	BILL	CUSTOMER_RA	HERMES	KNR181321	KNR181321	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097495	ORD157220	BILL	CUSTOMER_RA	HERMES	KNR257921	KNR257921	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097497	ORD144966	BILL	CUSTOMER_RA	HERMES	KNR848021	KNR848021	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097499	ORD152584	MASTER	CUSTOMER_RA	DHL	KNR463621	KNR463621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097501	ORD154147	BILL	CUSTOMER_RA	DHL	KNR925721	KNR925721	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097503	ORD150120	MASTER	CUSTOMER_RA	HERMES	KNR536421	KNR536421	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097505	ORD154568	BILL	CUSTOMER_RA	DHL	KNR638721	KNR638721	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097506	ORD152906	BILL	CUSTOMER_RA	HERMES	KNR116621	KNR116621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097507	ORD158617	COD 	CUSTOMER_RA	DHL	KNR397031	KNR397031	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097508	ORD152299	BILL	CUSTOMER_RA	HERMES	KNR351621	KNR351621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097509	ORD147699	BILL	CUSTOMER_RA	HERMES	KNR309221	KNR309221	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097511	ORD157967	BILL	CUSTOMER_RA	DHL	KNR433031	KNR433031	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097515	ORD150093	BILL	CUSTOMER_RA	DHL	KNR716421	KNR716421	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097516	ORD156948	MASTER	CUSTOMER_RA	DHL	KNR155921	KNR155921	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097517	ORD151719	MASTER	CUSTOMER_RA	HERMES	KNR367521	KNR367521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097519	ORD155041	BILL	CUSTOMER_RA	DHL	KNR861821	KNR861821	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097521	ORD151986	BILL	CUSTOMER_RA	DHL	KNR959521	KNR959521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097522	ORD148428	BILL	CUSTOMER_RA	HERMES	KNR134321	KNR134321	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097526	ORD155244	BILL	CUSTOMER_RA	DHL	KNR023821	KNR023821	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097527	ORD150673	BILL	CUSTOMER_RA	DHL	KNR440521	KNR440521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097531	ORD160441	BILL	CARRIER_SO	DHL	KNR191231	KNR191231	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097533	ORD156514	BILL	CUSTOMER_RA	HERMES	KNR932921	KNR932921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097536	ORD151026	BILL	CUSTOMER_RA	HERMES	KNR182521	KNR182521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097540	ORD146400	BILL	CUSTOMER_RA	HERMES	KNR029121	KNR029121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097542	ORD144443	BILL	CUSTOMER_RA	HERMES	KNR064021	KNR064021	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097544	ORD150962	VISA	CUSTOMER_RA	DHL	KNR042521	KNR042521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097545	ORD149836	BILL	CUSTOMER_RA	HERMES	KNR934421	KNR934421	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097546	ORD153107	BILL	CUSTOMER_RA	DHL	KNR367621	KNR367621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097548	ORD145974	BILL	CUSTOMER_RA	HERMES	KNR906121	KNR906121	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097549	ORD156721	MASTER	CUSTOMER_RA	DHL	KNR393921	KNR393921	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097552	ORD155482	BILL	CUSTOMER_RA	HERMES	KNR094821	KNR094821	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097555	ORD150824	BILL	CUSTOMER_RA	HERMES	KNR341521	KNR341521	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097556	ORD142250	BILL	CUSTOMER_RA	HERMES	KNR029811	KNR029811	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret097557	ORD152638	BILL	CUSTOMER_RA	HERMES	KNR704621	KNR704621	2010-12-09 00:00:00.000	2010-12-12 00:00:00.000
